Número da contratação;Código Classe/Grupo;Valor Total;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;IdxValor;ID;ID Futura Contratação;Valor PCA
36/2026;6520;10000;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;74/2025;Alto;3;46172;Material;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS;1296;SONDA ODONTOLÓGICA;419944;CARACTERÍSTICAS ADICIONAIS: MILIMETRADA, MATERIAL: AÇO INOXIDÁVEL, MODELO: WHO (0MS), TIPO: PERIODONTAL;UN;50;200;1;243;102122-36/2026;10000
36/2026;6520;1100;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;85/2025;Médio;1;46111;Material;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS;1398;CAIXA BANDAS ORTODÔNTICOS;;;;1100;1;1;240;102122-36/2026;1100
36/2026;6520;2400;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;85/2025;Médio;2;46111;Material;Instrumentos, Equipamentos E Suprimentos Dentários;7538;Fio Ortodôntico;;;;2400;1;1;238;102122-36/2026;2400
36/2026;6520;5500;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;85/2025;Médio;3;46111;Material;Instrumentos, Equipamentos E Suprimentos Dentários;1325;Expansor Ortodôntico;;;;5500;1;1;239;102122-36/2026;5500
36/2026;6520;23993;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;98/2025;Médio;1;46142;Material;Instrumentos, Equipamentos E Suprimentos Dentários;1321;Bráquete Odontológico;;;;23993;1;1;237;102122-36/2026;23993
36/2026;6520;20448;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;98/2025;Médio;2;46142;Material;Instrumentos, equipamentos e suprimentos dentários;1331;Tubo ortodôntico;;;;20448;1;1;234;102122-36/2026;20448
36/2026;6520;672;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;98/2025;Médio;3;46142;Material;Instrumentos, Equipamentos E Suprimentos Dentários;7538;Fio Ortodôntico;;;;672;1;1;236;102122-36/2026;672
36/2026;6520;7780;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;98/2025;Médio;4;46142;Material;Instrumentos, Equipamentos E Suprimentos Dentários;3287;Banda Ortodôntica;;;;7780;1;1;235;102122-36/2026;7780
36/2026;6520;4600;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAO - ODONTOP. ORTO. S COLETIVA;98/2025;Médio;5;46142;Material;INSTRUMENTOS, EQUIPAMENTOS E SUPRIMENTOS DENTÁRIOS;1328;ELÁSTICO ORTODÔNTICO;;;;4600;1;1;233;102122-36/2026;4600
36/2026;6810;85;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;BAB - CIENCIAS BIOLÓGICAS;196/2025;Alto;9;46055;Material;Produtos químicos;18189;Álcool Etílico;405780;aspecto físico: líquido límpido, incolor, volátil, característica adicional: hidratado, fórmula química: c2h5oh, grau de pureza: mínimo de 70 °inpm (70% p/p), número de referência química: cas 64-17-5, peso molecular: 46,07, teor alcoólico: mínimo de 77 °gl (77% v/v a 20 °c);L;8,5;10;1;245;102122-36/2026;85
36/2026;6520;4750;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;1;46097;Material;Instrumentos, equipamentos e suprimentos dentários;2712;Caneta Alta Rotação;437552;material rolamento: rolamento cerâmica, refrigeração: 3 ou mais furos, tipo cabeça: cabeça padrão, tipo conexão: conexão 2 furos, troca de brocas: botão de pressão(pb), velocidade máxima: velocidade máxima menor ou igual 400.000;UN;950;5;1;248;102122-36/2026;4750
36/2026;6520;350;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;2;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;449702;formato: esférica, material: aço inoxidável diamantada, numeração 2: ref. 1018, tipo corte: corte médio, tipo haste: haste longa;UN;7;50;1;249;102122-36/2026;350
36/2026;6520;300;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;3;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;437784;característica adicional: topo arredondado, formato: tronco cônica, material: aço inoxidável diamantada, numeração americana: 4138, tipo corte: corte extra fino, tipo haste: haste regular;UN;15;20;1;250;102122-36/2026;300
36/2026;6520;300;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;4;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;434997;formato: esférica, material: aço inoxidável diamantada, numeração 2: ref. 1018, tipo corte: corte médio, tipo haste: haste regular;UN;6;50;2;251;102122-36/2026;300
36/2026;6520;180;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;5;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;434996;formato: esférica, material: aço inoxidável diamantada, numeração 2: ref. 1017, tipo corte: corte médio, tipo haste: haste regular;UN;6;30;1;252;102122-36/2026;180
36/2026;6520;180;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;6;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;427327;formato: esférica, material: aço inoxidável diamantada, numeração americana: 1016, tipo corte: corte grosso, tipo haste: haste regular;UN;6;30;2;253;102122-36/2026;180
36/2026;6520;210;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;7;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;413072;formato: chama, material: aço inoxidável diamantada, numeração americana: 1111, tipo corte: corte fino, tipo haste: haste regular;UN;7;30;1;254;102122-36/2026;210
36/2026;6520;300;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;8;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;404644;formato: esférica, material: aço inoxidável diamantada, numeração americana: 1013, tipo corte: corte médio, tipo haste: haste longa;UN;6;50;3;255;102122-36/2026;300
36/2026;6520;300;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;9;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;404050;formato: esférica, material: aço inoxidável diamantada, numeração americana: 1019, tipo corte: corte médio, tipo haste: haste longa;UN;6;50;4;256;102122-36/2026;300
36/2026;6520;390;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;10;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;403745;característica adicional: topo arredondado, formato: tronco cônica, material: aço inoxidável diamantada, numeração americana: 4138, tipo corte: corte fino, tipo haste: haste regular;UN;13;30;1;257;102122-36/2026;390
36/2026;6520;180;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;11;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;403389;característica adicional: picotada, formato: tronco cônica, material: carbide, numeração americana 1: ref. 702, tipo corte: cirúrgica, tipo haste: haste longa;UN;18;10;3;258;102122-36/2026;180
36/2026;6520;180;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;12;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;402949;formato: esférica, material: aço inoxidável diamantada, numeração americana: 1016, tipo corte: corte médio, tipo haste: haste regular;UN;6;30;4;259;102122-36/2026;180
36/2026;6520;300;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;13;46097;Material;Instrumentos, equipamentos e suprimentos dentários;3905;Broca Alta Rotação;402944;formato: esférica, material: aço inoxidável diamantada, numeração americana: 1011, tipo corte: corte médio, tipo haste: haste regular;UN;6;50;5;260;102122-36/2026;300
36/2026;6525;1000;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;14;46097;Material;Equipamentos e suprimentos de raios-x de uso  médico,  dentário e veterinário;18113;Protetor Radiológico;475757;adicional 1: ajustável, impermeável, material: borracha c/ tungstênio, modelo: avental frente longo, ombro e costa longo, proteção tecido: equivalência frente 0,50, ombro e costa 0,25, tamanhos: adulto;UN;1000;1;1;246;102122-36/2026;1000
36/2026;6525;600;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;15;46097;Material;Equipamentos e suprimentos de raios-x de uso  médico,  dentário e veterinário;18113;Protetor Radiológico;475746;adicional 1: ajustável, impermeável, material: borracha plumbífera, modelo: avental curto p/ periapical, proteção tecido: equivalência de 0,50, tamanhos: infantil;UN;600;1;1;247;102122-36/2026;600
36/2026;6520;420;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;16;46097;Material;Instrumentos, equipamentos e suprimentos dentários;377;Alavanca Odontológica;413383;características adicionais: reta, esterilidade: autoclavável, material: aço inoxidável, referência: nº 304, tipo: apical;UN;70;6;1;261;102122-36/2026;420
36/2026;6810;1000;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;TRIAGEM - URGENCIA;246/2025;Alto;17;46097;Material;Produtos químicos;14487;Desinfetante;607280;composição: à base de quaternário de amônio, forma física: solução aquosa, princípio ativo: peróxido de hidrogênio, teor ativo: cerca de 5,5% + 4,3%;L;50;20;1;244;102122-36/2026;1000
36/2026;6520;30000;Aprovada;;Material Odonto não padronizado;BENS;102122;46034;46142;108;CLINICAS ODONTO;288/2025;Alto;1;46327;Material;Instrumentos, equipamentos e suprimentos dentários;;;;;;30000;1;1;232;102122-36/2026;30000
37/2026;5220;1890;Aprovada;;Equipamentos Médico Hospitalar;BENS;102122;46146;46265;119;CLINICA DE FONOAUDIOLOGIA;140/2025;Alto;1;46112;Material;Calibres de inspeção e ferramentas de precisão;13667;Decibelímetro;;;;1890;1;1;66;102122-37/2026;1890
37/2026;6515;1522,55;Aprovada;;Equipamentos Médico Hospitalar;BENS;102122;46146;46265;119;Biotério;145/2025;Alto;1;46142;Material;Instrumentos, equipamentos e suprimentos médicos  e  cirúrgicos;;;;;;1522,55;1;1;67;102122-37/2026;1522,55
37/2026;5220;900;Aprovada;;Equipamentos Médico Hospitalar;BENS;102122;46146;46265;119;CLINICA DE FONOAUDIOLOGIA;142/2025;Alto;1;46112;Material;Calibres de inspeção e ferramentas de precisão;13667;Decibelímetro;;;;900;1;1;65;102122-37/2026;900
37/2026;6515;9000;Aprovada;;Equipamentos Médico Hospitalar;BENS;102122;46146;46265;119;CLINICA DE FONOAUDIOLOGIA;156/2025;Alto;1;46112;Material;Instrumentos, Equipamentos E Suprimentos Médicos  E  Cirúrgicos;9116;Manovacuômetro;;;;9000;1;1;68;102122-37/2026;9000
37/2026;6530;440;Aprovada;;Equipamentos Médico Hospitalar;BENS;102122;46146;46265;119;BAD - DENT. ENDO. MAT ODONT.;193/2025;Alto;1;46114;Material;Mobiliário, Equipamentos, Utensílios E  Suprimentos  Hospitalares;;;;;;440;1;1;64;102122-37/2026;440
41/2026;6830;12000;Aprovada;;Nitrogênio liquido;BENS;102122;45917;46037;120;CIP;236/2025;Médio;1;46083;Material;GASES COMPRIMIDOS E LIQUEFEITOS;;;;;;12000;1;1;47;102122-41/2026;12000
